alpha,threshold,alloc,ret_pct,dd_pct,trades
8,0.57,0.942,387.70171352502,25.364027034975734,77
8,0.57,0.943,387.42404602501983,25.364027034975734,77
8,0.57,0.944,388.3532742950198,25.32369780061406,77
8,0.57,0.945,390.4540410550199,25.26855933668054,77
8,0.57,0.946,390.5385536150201,25.455227417635424,77
8,0.57,0.947,390.1036636750201,25.48675377359732,77
8,0.57,0.948,389.6624336750201,25.48675377359732,77
8,0.57,0.949,389.42530455307025,25.588636480287708,77
8,0.57,0.95,389.13530455307034,25.600517836325075,77
8,0.57,0.951,389.25241955307035,25.600517836325075,77
8,0.57,0.952,388.98387955307027,25.596569339344512,77
8,0.57,0.953,388.63230705307024,25.65285124272275,77
8,0.57,0.954,387.8636070530703,25.642556741779686,77
8,0.57,0.955,387.51203455307024,25.698939762557927,77
8,0.57,0.956,387.15639185307043,25.713605716666905,77
8,0.57,0.957,398.88006379734014,25.76239193127472,77
8,0.57,0.958,396.76360467539035,25.78369901597426,77
8,0.57,0.959,395.9820321753903,25.855917342929967,77
8,0.57,0.96,397.27317967539005,25.826968355514946,77
8,0.57,0.961,395.10901217539026,25.891216669770213,77
8,0.57,0.962,394.3298746753903,25.891216669770213,77
8,0.57,0.963,403.90981217539013,25.810624587546506,77
8,0.57,0.964,403.69241717539,25.927030353634205,77
8,0.57,0.965,403.73129717538995,25.91556645556069,77
8,0.57,0.966,403.2508796753899,25.93352843185926,77
8,0.57,0.967,403.12675713892736,25.982991685124894,77
8,0.57,0.968,401.70845963892725,25.982991685124894,77
8,0.57,0.969,403.61880096493746,26.049216513807536,77
8,0.57,0.97,403.3660484649376,26.103601722883358,77
8,0.57,0.971,403.8866143596876,26.099711891287885,77
8,0.57,0.972,403.4101268596875,26.103749312626384,77
8,0.57,0.973,401.26747596493743,26.144311094822864,77
8,0.57,0.974,401.01472346493745,26.198894841104885,77
8,0.57,0.975,400.6120734649375,26.198894841104885,77
8,0.57,0.976,400.60293185968743,26.198894841104885,77
8,0.57,0.977,411.21437441968726,26.16204793952645,77
8,0.57,0.978,411.31319441968736,26.16204793952645,77
8,0.57,0.979,410.87196441968734,26.16204793952645,77
8,0.57,0.98,409.4620323747672,26.161436991242322,77
8,0.57,0.981,407.4321348747671,26.170854456227243,77
8,0.57,0.982,407.3112297024047,26.17568374072538,77
8,0.57,0.983,407.4162297024049,26.430670999883265,77
8,0.57,0.984,405.64052970240476,26.430670999883265,77
8,0.57,0.985,405.64052970240476,26.430670999883265,77
8,0.57,0.986,404.98509308045476,26.49661729742298,77
8,0.57,0.987,404.30817308045465,26.610775298434547,77
8,0.57,0.988,404.30817308045465,26.610775298434547,77
8,0.57,0.989,403.6881730804547,26.63598792430351,77
8,0.57,0.99,403.2855230804548,26.63598792430351,77
8,0.575,0.94,388.5211635250199,25.128242329899507,77
8,0.575,0.941,389.0947460250198,25.09362160360315,77
8,0.575,0.942,387.70171352502,25.364027034975734,77
8,0.575,0.943,387.42404602501983,25.364027034975734,77
8,0.575,0.944,388.3532742950198,25.32369780061406,77
8,0.575,0.945,390.4540410550199,25.26855933668054,77
8,0.575,0.946,390.5385536150201,25.455227417635424,77
8,0.575,0.947,390.1036636750201,25.48675377359732,77
8,0.575,0.948,389.6624336750201,25.48675377359732,77
8,0.575,0.949,389.42530455307025,25.588636480287708,77
8,0.575,0.95,389.13530455307034,25.600517836325075,77
8,0.575,0.951,389.25241955307035,25.600517836325075,77
8,0.575,0.952,388.98387955307027,25.596569339344512,77
8,0.575,0.953,388.63230705307024,25.65285124272275,77
8,0.575,0.954,387.8636070530703,25.642556741779686,77
8,0.575,0.955,387.51203455307024,25.698939762557927,77
8,0.575,0.956,387.15639185307043,25.713605716666905,77
8,0.575,0.957,398.88006379734014,25.76239193127472,77
8,0.575,0.958,396.76360467539035,25.78369901597426,77
8,0.575,0.959,395.9820321753903,25.855917342929967,77
8,0.575,0.96,397.27317967539005,25.826968355514946,77
8,0.575,0.961,395.10901217539026,25.891216669770213,77
8,0.575,0.962,394.3298746753903,25.891216669770213,77
8,0.575,0.963,403.90981217539013,25.810624587546506,77
8,0.575,0.964,403.69241717539,25.927030353634205,77
8,0.575,0.965,403.73129717538995,25.91556645556069,77
8,0.575,0.966,403.2508796753899,25.93352843185926,77
8,0.575,0.967,403.12675713892736,25.982991685124894,77
8,0.575,0.968,401.70845963892725,25.982991685124894,77
8,0.575,0.969,403.61880096493746,26.049216513807536,77
8,0.575,0.97,403.3660484649376,26.103601722883358,77
8,0.575,0.971,403.8866143596876,26.099711891287885,77
8,0.575,0.972,403.4101268596875,26.103749312626384,77
8,0.575,0.973,401.26747596493743,26.144311094822864,77
8,0.575,0.974,401.01472346493745,26.198894841104885,77
8,0.575,0.975,400.6120734649375,26.198894841104885,77
8,0.575,0.976,400.60293185968743,26.198894841104885,77
8,0.575,0.977,411.21437441968726,26.16204793952645,77
8,0.575,0.978,411.31319441968736,26.16204793952645,77
8,0.575,0.979,410.87196441968734,26.16204793952645,77
8,0.575,0.98,409.4620323747672,26.161436991242322,77
8,0.575,0.981,407.4321348747671,26.170854456227243,77
8,0.575,0.982,407.3112297024047,26.17568374072538,77
8,0.575,0.983,407.4162297024049,26.430670999883265,77
8,0.575,0.984,405.64052970240476,26.430670999883265,77
8,0.575,0.985,405.64052970240476,26.430670999883265,77
8,0.575,0.986,404.98509308045476,26.49661729742298,77
8,0.575,0.987,404.30817308045465,26.610775298434547,77
8,0.575,0.988,404.30817308045465,26.610775298434547,77
8,0.575,0.989,403.6881730804547,26.63598792430351,77
8,0.575,0.99,403.2855230804548,26.63598792430351,77
8,0.58,0.94,388.5211635250199,25.128242329899507,77
8,0.58,0.941,389.0947460250198,25.09362160360315,77
8,0.58,0.942,387.70171352502,25.364027034975734,77
8,0.58,0.943,387.42404602501983,25.364027034975734,77
8,0.58,0.944,388.3532742950198,25.32369780061406,77
8,0.58,0.945,390.4540410550199,25.26855933668054,77
8,0.58,0.946,390.5385536150201,25.455227417635424,77
8,0.58,0.947,390.1036636750201,25.48675377359732,77
8,0.58,0.948,389.6624336750201,25.48675377359732,77
8,0.58,0.949,389.42530455307025,25.588636480287708,77
8,0.58,0.95,389.13530455307034,25.600517836325075,77
8,0.58,0.951,389.25241955307035,25.600517836325075,77
8,0.58,0.952,388.98387955307027,25.596569339344512,77
8,0.58,0.953,388.63230705307024,25.65285124272275,77
8,0.58,0.954,387.8636070530703,25.642556741779686,77
8,0.58,0.955,387.51203455307024,25.698939762557927,77
8,0.58,0.956,387.15639185307043,25.713605716666905,77
8,0.58,0.957,398.88006379734014,25.76239193127472,77
8,0.58,0.958,396.76360467539035,25.78369901597426,77
8,0.58,0.959,395.9820321753903,25.855917342929967,77
8,0.58,0.96,397.27317967539005,25.826968355514946,77
8,0.58,0.961,395.10901217539026,25.891216669770213,77
8,0.58,0.962,394.3298746753903,25.891216669770213,77
8,0.58,0.963,403.90981217539013,25.810624587546506,77
8,0.58,0.964,403.69241717539,25.927030353634205,77
8,0.58,0.965,403.73129717538995,25.91556645556069,77
8,0.58,0.966,403.2508796753899,25.93352843185926,77
8,0.58,0.967,403.12675713892736,25.982991685124894,77
8,0.58,0.968,401.70845963892725,25.982991685124894,77
8,0.58,0.969,403.61880096493746,26.049216513807536,77
8,0.58,0.97,403.3660484649376,26.103601722883358,77
8,0.58,0.971,403.8866143596876,26.099711891287885,77
8,0.58,0.972,403.4101268596875,26.103749312626384,77
8,0.58,0.973,401.26747596493743,26.144311094822864,77
8,0.58,0.974,401.01472346493745,26.198894841104885,77
8,0.58,0.975,400.6120734649375,26.198894841104885,77
8,0.58,0.976,400.60293185968743,26.198894841104885,77
8,0.58,0.977,411.21437441968726,26.16204793952645,77
8,0.58,0.978,411.31319441968736,26.16204793952645,77
8,0.58,0.979,410.87196441968734,26.16204793952645,77
8,0.58,0.98,409.4620323747672,26.161436991242322,77
8,0.58,0.981,407.4321348747671,26.170854456227243,77
8,0.58,0.982,407.3112297024047,26.17568374072538,77
8,0.58,0.983,407.4162297024049,26.430670999883265,77
8,0.58,0.984,405.64052970240476,26.430670999883265,77
8,0.58,0.985,405.64052970240476,26.430670999883265,77
8,0.58,0.986,404.98509308045476,26.49661729742298,77
8,0.58,0.987,404.30817308045465,26.610775298434547,77
8,0.58,0.988,404.30817308045465,26.610775298434547,77
8,0.58,0.989,403.6881730804547,26.63598792430351,77
8,0.58,0.99,403.2855230804548,26.63598792430351,77
8,0.585,0.94,388.5211635250199,25.128242329899507,77
8,0.585,0.941,389.0947460250198,25.09362160360315,77
8,0.585,0.942,387.70171352502,25.364027034975734,77
8,0.585,0.943,387.42404602501983,25.364027034975734,77
8,0.585,0.944,388.3532742950198,25.32369780061406,77
8,0.585,0.945,390.4540410550199,25.26855933668054,77
8,0.585,0.946,390.5385536150201,25.455227417635424,77
8,0.585,0.947,390.1036636750201,25.48675377359732,77
8,0.585,0.948,389.6624336750201,25.48675377359732,77
8,0.585,0.949,389.42530455307025,25.588636480287708,77
8,0.585,0.95,389.13530455307034,25.600517836325075,77
8,0.585,0.951,389.25241955307035,25.600517836325075,77
8,0.585,0.952,388.98387955307027,25.596569339344512,77
8,0.585,0.953,388.63230705307024,25.65285124272275,77
8,0.585,0.954,387.8636070530703,25.642556741779686,77
8,0.585,0.955,387.51203455307024,25.698939762557927,77
8,0.585,0.956,387.15639185307043,25.713605716666905,77
8,0.585,0.957,398.88006379734014,25.76239193127472,77
8,0.585,0.958,396.76360467539035,25.78369901597426,77
8,0.585,0.959,395.9820321753903,25.855917342929967,77
8,0.585,0.96,397.27317967539005,25.826968355514946,77
8,0.585,0.961,395.10901217539026,25.891216669770213,77
8,0.585,0.962,394.3298746753903,25.891216669770213,77
8,0.585,0.963,403.90981217539013,25.810624587546506,77
8,0.585,0.964,403.69241717539,25.927030353634205,77
8,0.585,0.965,403.73129717538995,25.91556645556069,77
8,0.585,0.966,403.2508796753899,25.93352843185926,77
8,0.585,0.967,403.12675713892736,25.982991685124894,77
8,0.585,0.968,401.70845963892725,25.982991685124894,77
8,0.585,0.969,403.61880096493746,26.049216513807536,77
8,0.585,0.97,403.3660484649376,26.103601722883358,77
8,0.585,0.971,403.8866143596876,26.099711891287885,77
8,0.585,0.972,403.4101268596875,26.103749312626384,77
8,0.585,0.973,401.26747596493743,26.144311094822864,77
8,0.585,0.974,401.01472346493745,26.198894841104885,77
8,0.585,0.975,400.6120734649375,26.198894841104885,77
8,0.585,0.976,400.60293185968743,26.198894841104885,77
8,0.585,0.977,411.21437441968726,26.16204793952645,77
8,0.585,0.978,411.31319441968736,26.16204793952645,77
8,0.585,0.979,410.87196441968734,26.16204793952645,77
8,0.585,0.98,409.4620323747672,26.161436991242322,77
8,0.585,0.981,407.4321348747671,26.170854456227243,77
8,0.585,0.982,407.3112297024047,26.17568374072538,77
8,0.585,0.983,407.4162297024049,26.430670999883265,77
8,0.585,0.984,405.64052970240476,26.430670999883265,77
8,0.585,0.985,405.64052970240476,26.430670999883265,77
8,0.585,0.986,404.98509308045476,26.49661729742298,77
8,0.585,0.987,404.30817308045465,26.610775298434547,77
8,0.585,0.988,404.30817308045465,26.610775298434547,77
8,0.585,0.989,403.6881730804547,26.63598792430351,77
8,0.585,0.99,403.2855230804548,26.63598792430351,77
8,0.59,0.94,388.5211635250199,25.128242329899507,77
8,0.59,0.941,389.0947460250198,25.09362160360315,77
8,0.59,0.942,387.70171352502,25.364027034975734,77
8,0.59,0.943,387.42404602501983,25.364027034975734,77
8,0.59,0.944,388.3532742950198,25.32369780061406,77
8,0.59,0.945,390.4540410550199,25.26855933668054,77
8,0.59,0.946,390.5385536150201,25.455227417635424,77
8,0.59,0.947,390.1036636750201,25.48675377359732,77
8,0.59,0.948,389.6624336750201,25.48675377359732,77
8,0.59,0.949,389.42530455307025,25.588636480287708,77
8,0.59,0.95,389.13530455307034,25.600517836325075,77
8,0.59,0.951,389.25241955307035,25.600517836325075,77
8,0.59,0.952,388.98387955307027,25.596569339344512,77
8,0.59,0.953,388.63230705307024,25.65285124272275,77
8,0.59,0.954,387.8636070530703,25.642556741779686,77
8,0.59,0.955,387.51203455307024,25.698939762557927,77
8,0.59,0.956,387.15639185307043,25.713605716666905,77
8,0.59,0.957,398.88006379734014,25.76239193127472,77
8,0.59,0.958,396.76360467539035,25.78369901597426,77
8,0.59,0.959,395.9820321753903,25.855917342929967,77
8,0.59,0.96,397.27317967539005,25.826968355514946,77
8,0.59,0.961,395.10901217539026,25.891216669770213,77
8,0.59,0.962,394.3298746753903,25.891216669770213,77
8,0.59,0.963,403.90981217539013,25.810624587546506,77
8,0.59,0.964,403.69241717539,25.927030353634205,77
8,0.59,0.965,403.73129717538995,25.91556645556069,77
8,0.59,0.966,403.2508796753899,25.93352843185926,77
8,0.59,0.967,403.12675713892736,25.982991685124894,77
8,0.59,0.968,401.70845963892725,25.982991685124894,77
8,0.59,0.969,403.61880096493746,26.049216513807536,77
8,0.59,0.97,403.3660484649376,26.103601722883358,77
8,0.59,0.971,403.8866143596876,26.099711891287885,77
8,0.59,0.972,403.4101268596875,26.103749312626384,77
8,0.59,0.973,401.26747596493743,26.144311094822864,77
8,0.59,0.974,401.01472346493745,26.198894841104885,77
8,0.59,0.975,400.6120734649375,26.198894841104885,77
8,0.59,0.976,400.60293185968743,26.198894841104885,77
8,0.59,0.977,411.21437441968726,26.16204793952645,77
8,0.59,0.978,411.31319441968736,26.16204793952645,77
8,0.59,0.979,410.87196441968734,26.16204793952645,77
8,0.59,0.98,409.4620323747672,26.161436991242322,77
8,0.59,0.981,407.4321348747671,26.170854456227243,77
8,0.59,0.982,407.3112297024047,26.17568374072538,77
8,0.59,0.983,407.4162297024049,26.430670999883265,77
8,0.59,0.984,405.64052970240476,26.430670999883265,77
8,0.59,0.985,405.64052970240476,26.430670999883265,77
8,0.59,0.986,404.98509308045476,26.49661729742298,77
8,0.59,0.987,404.30817308045465,26.610775298434547,77
8,0.59,0.988,404.30817308045465,26.610775298434547,77
8,0.59,0.989,403.6881730804547,26.63598792430351,77
8,0.59,0.99,403.2855230804548,26.63598792430351,77
8,0.595,0.94,388.5211635250199,25.128242329899507,77
8,0.595,0.941,389.0947460250198,25.09362160360315,77
8,0.595,0.942,387.70171352502,25.364027034975734,77
8,0.595,0.943,387.42404602501983,25.364027034975734,77
8,0.595,0.944,388.3532742950198,25.32369780061406,77
8,0.595,0.945,390.4540410550199,25.26855933668054,77
8,0.595,0.946,390.5385536150201,25.455227417635424,77
8,0.595,0.947,390.1036636750201,25.48675377359732,77
8,0.595,0.948,389.6624336750201,25.48675377359732,77
8,0.595,0.949,389.42530455307025,25.588636480287708,77
8,0.595,0.95,389.13530455307034,25.600517836325075,77
8,0.595,0.951,389.25241955307035,25.600517836325075,77
8,0.595,0.952,388.98387955307027,25.596569339344512,77
8,0.595,0.953,388.63230705307024,25.65285124272275,77
8,0.595,0.954,387.8636070530703,25.642556741779686,77
8,0.595,0.955,387.51203455307024,25.698939762557927,77
8,0.595,0.956,387.15639185307043,25.713605716666905,77
8,0.595,0.957,398.88006379734014,25.76239193127472,77
8,0.595,0.958,396.76360467539035,25.78369901597426,77
8,0.595,0.959,395.9820321753903,25.855917342929967,77
8,0.595,0.96,397.27317967539005,25.826968355514946,77
8,0.595,0.961,395.10901217539026,25.891216669770213,77
8,0.595,0.962,394.3298746753903,25.891216669770213,77
8,0.595,0.963,403.90981217539013,25.810624587546506,77
8,0.595,0.964,403.69241717539,25.927030353634205,77
8,0.595,0.965,403.73129717538995,25.91556645556069,77
8,0.595,0.966,403.2508796753899,25.93352843185926,77
8,0.595,0.967,403.12675713892736,25.982991685124894,77
8,0.595,0.968,401.70845963892725,25.982991685124894,77
8,0.595,0.969,403.61880096493746,26.049216513807536,77
8,0.595,0.97,403.3660484649376,26.103601722883358,77
8,0.595,0.971,403.8866143596876,26.099711891287885,77
8,0.595,0.972,403.4101268596875,26.103749312626384,77
8,0.595,0.973,401.26747596493743,26.144311094822864,77
8,0.595,0.974,401.01472346493745,26.198894841104885,77
8,0.595,0.975,400.6120734649375,26.198894841104885,77
8,0.595,0.976,400.60293185968743,26.198894841104885,77
