variant,seed,score_base_start,alpha,threshold,alloc,gap_min,gap_max,ret_pct,dd_pct,trades
mlp_h48_e300_gt0,371,2024-07-01,15,0.6,0.9998,-0.0005,0.0265,-19.759696729999987,44.61612961101646,63
mlp_h48_e300_gt0,371,2024-07-01,15,0.64,0.998,-0.001,0.0255,0.8058406299999765,33.358379593798404,63
mlp_h48_e300_gt0,371,2024-07-01,15,0.64,0.998,-0.0005,0.0265,-19.479696729999986,44.37450588973741,63
mlp_h48_e300_gt0,371,2024-07-01,15,0.64,0.9998,-0.001,0.0255,0.4151919099999901,33.358379593798404,63
mlp_h48_e300_gt0,371,2024-07-01,15,0.64,0.9998,-0.0005,0.0265,-19.759696729999987,44.61612961101646,63
mlp_h48_e300_gt0,371,2024-07-01,16,0.58,0.998,-0.001,0.0255,-15.784925330000043,39.14959018558758,62
mlp_h48_e300_gt0,371,2024-07-01,16,0.58,0.998,-0.0005,0.0265,-36.42319224000003,52.98968209151917,62
mlp_h48_e300_gt0,371,2024-07-01,16,0.58,0.9998,-0.001,0.0255,-15.744925330000036,39.115072511119145,62
mlp_h48_e300_gt0,371,2024-07-01,16,0.58,0.9998,-0.0005,0.0265,-36.42319224000003,52.98968209151917,62
mlp_h48_e300_gt0,371,2024-07-01,16,0.6,0.998,-0.001,0.0255,-15.784925330000043,39.14959018558758,62
mlp_h48_e300_gt0,371,2024-07-01,16,0.6,0.998,-0.0005,0.0265,-36.42319224000003,52.98968209151917,62
mlp_h48_e300_gt0,371,2024-07-01,16,0.6,0.9998,-0.001,0.0255,-15.744925330000036,39.115072511119145,62
mlp_h48_e300_gt0,371,2024-07-01,16,0.6,0.9998,-0.0005,0.0265,-36.42319224000003,52.98968209151917,62
mlp_h48_e300_gt0,371,2024-07-01,16,0.64,0.998,-0.001,0.0255,-15.784925330000043,39.14959018558758,62
mlp_h48_e300_gt0,371,2024-07-01,16,0.64,0.998,-0.0005,0.0265,-36.42319224000003,52.98968209151917,62
mlp_h48_e300_gt0,371,2024-07-01,16,0.64,0.9998,-0.001,0.0255,-15.744925330000036,39.115072511119145,62
mlp_h48_e300_gt0,371,2024-07-01,16,0.64,0.9998,-0.0005,0.0265,-36.42319224000003,52.98968209151917,62
mlp_h48_e300_gt0,371,2025-01-01,14,0.58,0.998,-0.001,0.0255,55.027556220000065,28.72078324598904,64
mlp_h48_e300_gt0,371,2025-01-01,14,0.58,0.998,-0.0005,0.0265,7.986596979999971,38.05707321027037,62
mlp_h48_e300_gt0,371,2025-01-01,14,0.58,0.9998,-0.001,0.0255,55.27755622000004,28.209588952693387,64
mlp_h48_e300_gt0,371,2025-01-01,14,0.58,0.9998,-0.0005,0.0265,7.016596979999967,38.05707321027037,62
mlp_h48_e300_gt0,371,2025-01-01,14,0.6,0.998,-0.001,0.0255,55.027556220000065,28.72078324598904,64
mlp_h48_e300_gt0,371,2025-01-01,14,0.6,0.998,-0.0005,0.0265,7.986596979999971,38.05707321027037,62
mlp_h48_e300_gt0,371,2025-01-01,14,0.6,0.9998,-0.001,0.0255,55.27755622000004,28.209588952693387,64
