variant,seed,alpha,threshold,alloc,ret_pct,dd_pct,trades
mlp_h88_e500_gt1_wd2e4,343,10,0.66,0.93,-68.41054728,68.90054728,72
mlp_h88_e500_gt1_wd2e4,343,10,0.66,0.94,-68.62442566,69.11442566,72
mlp_h88_e500_gt1_wd2e4,343,10,0.66,0.95,-69.54442566,70.03442566,72
mlp_h88_e500_gt1_wd2e4,343,10,0.66,0.96,-69.57197086,70.06197086,72
mlp_h88_e500_gt1_wd2e4,343,10,0.66,0.97,-70.50197086,70.99197086,72
mlp_h88_e500_gt1_wd2e4,343,10,0.66,0.98,-70.99695378999999,71.48695378999999,72
mlp_h88_e500_gt1_wd2e4,343,10,0.66,0.99,-71.88695378999998,72.37695378999999,72
mlp_h88_e500_gt1_wd2e4,343,10,0.66,1.0,-70.90803702999999,71.39803703,72
mlp_h88_e500_gt1_wd2e4,343,10,0.67,0.9,-66.44556435,66.93556434999999,72
mlp_h88_e500_gt1_wd2e4,343,10,0.67,0.91,-67.78054728000001,68.27054728,72
mlp_h88_e500_gt1_wd2e4,343,10,0.67,0.92,-67.73054728000001,68.22054728,72
mlp_h88_e500_gt1_wd2e4,343,10,0.67,0.93,-68.41054728,68.90054728,72
mlp_h88_e500_gt1_wd2e4,343,10,0.67,0.94,-68.62442566,69.11442566,72
mlp_h88_e500_gt1_wd2e4,343,10,0.67,0.95,-69.54442566,70.03442566,72
mlp_h88_e500_gt1_wd2e4,343,10,0.67,0.96,-69.57197086,70.06197086,72
mlp_h88_e500_gt1_wd2e4,343,10,0.67,0.97,-70.50197086,70.99197086,72
mlp_h88_e500_gt1_wd2e4,343,10,0.67,0.98,-70.99695378999999,71.48695378999999,72
mlp_h88_e500_gt1_wd2e4,343,10,0.67,0.99,-71.88695378999998,72.37695378999999,72
mlp_h88_e500_gt1_wd2e4,343,10,0.67,1.0,-70.90803702999999,71.39803703,72
mlp_h88_e500_gt1_wd2e4,343,10,0.68,0.9,-66.44556435,66.93556434999999,72
