stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,score_base_start,alpha,threshold,alloc,gap_min,gap_max,max_broken_rate,min_red_rate,max_pullback,ret_pct,dd_pct,trades,obj
stage1,88,500,0.021,0.0002,0.01,440,incumbent,2025-09-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1664.1659206022205,40.82766268109492,61,-1299.5536011291701
stage1,88,500,0.021,0.0002,0.01,440,incumbent,2025-09-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,1664.1659206022205,40.82766268109492,61,-1299.5536011291701
stage1,88,520,0.0205,0.0002,0.01,440,tie_e520,2024-12-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,3067.704368464772,16.01910595150687,64,3067.704368464772
stage1,88,520,0.0205,0.0002,0.01,440,tie_e520,2024-12-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1883.9186947565504,18.22800339605088,64,1632.1582872304446
stage1,88,520,0.0205,0.0002,0.01,440,tie_e520,2024-12-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,3091.114719633972,16.01910595150687,63,3091.114719633972
stage1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-01-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-01-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1876.7631482998,18.22800339605088,64,1625.002740773694
stage1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-01-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-02-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
stage1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-02-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1898.4207982997993,18.22800339605088,63,1646.6603907736935
stage1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-02-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,3091.114719633972,16.01910595150687,63,3091.114719633972
stage1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-03-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
stage1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-03-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1898.4207982997993,18.22800339605088,63,1646.6603907736935
stage1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-03-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,3091.114719633972,16.01910595150687,63,3091.114719633972
stage1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-04-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,2812.99144131342,16.00905119684059,63,2812.99144131342
stage1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-04-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1741.9520024623073,18.231734058413526,62,1489.7439154526842
stage1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-04-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,2834.0574691225697,16.00905119684059,62,2834.0574691225697
stage1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-05-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,1664.1659206022205,40.82766268109492,61,-1299.5536011291701
stage1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-05-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1009.9267099623078,40.86507671800782,60,-1958.282496198631
stage1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-05-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,1676.6030966225699,40.82766268109492,60,-1287.1164251088207
stage1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-06-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,1624.3502839393695,41.0122423194315,62,-1361.5187943924107
stage1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-06-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,998.6615549623076,40.80563031508421,61,-1962.4140828477975
stage1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-06-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,1636.5559266225696,41.0122423194315,61,-1349.3131517092106
stage1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-07-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,1664.1659206022205,40.82766268109492,61,-1299.5536011291701
stage1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-07-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1002.5098323478076,40.86507671800782,61,-1965.6993738131312
stage1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-07-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,1676.6030966225699,40.82766268109492,60,-1287.1164251088207
stage1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-08-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,2013.4805822307196,40.8994944316903,62,-958.8587495721165
stage1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-08-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1220.9114664877568,40.94114980874507,62,-1756.4265105616512
stage1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-08-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,2028.8356391225698,40.8994944316903,61,-943.5036926802663
stage1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-09-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,1664.1659206022205,40.82766268109492,61,-1299.5536011291701
stage1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-09-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1002.5098323478076,40.86507671800782,61,-1965.6993738131312
stage1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-09-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,1664.1659206022205,40.82766268109492,61,-1299.5536011291701
stage1,88,500,0.021,0.00016,0.01,440,tie_wd16,2024-12-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,2812.99144131342,16.00905119684059,63,2812.99144131342
stage1,88,500,0.021,0.00016,0.01,440,tie_wd16,2024-12-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,2812.99144131342,16.00905119684059,63,2812.99144131342
stage1,88,500,0.021,0.00016,0.01,440,tie_wd16,2024-12-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,2834.0574691225697,16.00905119684059,62,2834.0574691225697
stage1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-01-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-01-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-01-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-02-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
stage1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-02-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
stage1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-02-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,3091.114719633972,16.01910595150687,63,3091.114719633972
stage1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-03-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
stage1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-03-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
stage1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-03-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,3091.114719633972,16.01910595150687,63,3091.114719633972
stage1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-04-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,2812.99144131342,16.00905119684059,63,2812.99144131342
stage1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-04-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,2834.0574691225697,16.00905119684059,62,2834.0574691225697
stage1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-04-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,2834.0574691225697,16.00905119684059,62,2834.0574691225697
stage1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-05-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,1664.1659206022205,40.82766268109492,61,-1299.5536011291701
stage1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-05-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1676.6030966225699,40.82766268109492,60,-1287.1164251088207
stage1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-05-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,1676.6030966225699,40.82766268109492,60,-1287.1164251088207
stage1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-06-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,1624.3502839393695,41.0122423194315,62,-1361.5187943924107
stage1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-06-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,998.6615549623076,40.80563031508421,61,-1962.4140828477975
stage1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-06-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,1636.5559266225696,41.0122423194315,61,-1349.3131517092106
stage1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-07-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,1624.3502839393695,41.0122423194315,62,-1361.5187943924107
stage1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-07-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,991.2446773478074,40.80563031508421,62,-1969.8309604622978
stage1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-07-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,1636.5559266225696,41.0122423194315,61,-1349.3131517092106
stage1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-08-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,1624.3502839393695,41.0122423194315,62,-1361.5187943924107
stage1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-08-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1636.5559266225696,41.0122423194315,61,-1349.3131517092106
stage1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-08-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,1636.5559266225696,41.0122423194315,61,-1349.3131517092106
stage1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-09-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,1664.1659206022205,40.82766268109492,61,-1299.5536011291701
stage1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-09-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1664.1659206022205,40.82766268109492,61,-1299.5536011291701
stage1,88,500,0.021,0.00016,0.01,440,tie_wd16,2025-09-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,1664.1659206022205,40.82766268109492,61,-1299.5536011291701
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2024-12-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,3067.704368464772,16.01910595150687,64,3067.704368464772
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2024-12-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1883.9186947565504,18.22800339605088,64,1632.1582872304446
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2024-12-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,3067.704368464772,16.01910595150687,64,3067.704368464772
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-01-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-01-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1876.7631482998,18.22800339605088,64,1625.002740773694
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-01-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-02-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-02-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1898.4207982997993,18.22800339605088,63,1646.6603907736935
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-02-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,3091.114719633972,16.01910595150687,63,3091.114719633972
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-03-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,3067.704368464772,16.01910595150687,64,3067.704368464772
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-03-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1898.4207982997993,18.22800339605088,63,1646.6603907736935
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-03-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,3091.114719633972,16.01910595150687,63,3091.114719633972
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-04-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,2711.918511273784,16.03138098447767,63,2711.918511273784
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-04-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1683.825042462307,18.22800339605088,62,1432.0646349362012
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-04-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,2733.0793640714837,16.03138098447767,62,2733.0793640714837
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-05-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,1664.1659206022205,40.82766268109492,61,-1299.5536011291701
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-05-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1009.9267099623078,40.86507671800782,60,-1958.282496198631
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-05-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,1676.6030966225699,40.82766268109492,60,-1287.1164251088207
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-06-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,1581.0835297254346,40.956122873421684,62,-1398.0512150851675
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-06-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,966.5093199623072,40.96007514693704,61,-2013.0996976701374
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-06-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,1593.8797265714843,40.956122873421684,61,-1385.2550182391178
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-07-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,1598.4551497254345,40.955194375741215,61,-1380.5681753635115
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-07-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,972.1362973478073,40.83536429391975,61,-1992.5074179225635
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-07-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,1611.1525265714845,40.955194375741215,60,-1367.8707985174615
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-08-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,1942.9687313539343,40.86887292265596,62,-1025.696019364781
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-08-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1190.8464623249072,40.871775798209825,62,-1778.1666334602721
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-08-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,1957.897311571484,40.86887292265596,61,-1010.7674391472315
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-09-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,1598.4551497254345,40.955194375741215,61,-1380.5681753635115
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-09-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,972.1362973478073,40.83536429391975,61,-1992.5074179225635
stage1,88,500,0.0215,0.00022,0.01,440,tie_lr215,2025-09-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,1598.4551497254345,40.955194375741215,61,-1380.5681753635115
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2024-12-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,2711.918511273784,16.03138098447767,63,2711.918511273784
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2024-12-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,2711.918511273784,16.03138098447767,63,2711.918511273784
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2024-12-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,2733.0793640714837,16.03138098447767,62,2733.0793640714837
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-01-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-01-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-01-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-02-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-02-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1898.4207982997993,18.22800339605088,63,1646.6603907736935
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-02-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,3091.114719633972,16.01910595150687,63,3091.114719633972
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-03-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-03-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1898.4207982997993,18.22800339605088,63,1646.6603907736935
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-03-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,3091.114719633972,16.01910595150687,63,3091.114719633972
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-04-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,2812.99144131342,16.00905119684059,63,2812.99144131342
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-04-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,2834.0574691225697,16.00905119684059,62,2834.0574691225697
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-04-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,2834.0574691225697,16.00905119684059,62,2834.0574691225697
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-05-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,1664.1659206022205,40.82766268109492,61,-1299.5536011291701
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-05-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,1009.9267099623078,40.86507671800782,60,-1958.282496198631
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-05-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,1676.6030966225699,40.82766268109492,60,-1287.1164251088207
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-06-01,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,0.065,1624.3502839393695,41.0122423194315,62,-1361.5187943924107
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-06-01,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,0.065,998.6615549623076,40.80563031508421,61,-1962.4140828477975
stage1,88,480,0.022,0.0002,0.01,440,local_alt,2025-06-01,15,0.68,0.9998,-0.0005,0.0255,0.406,0.287,0.06,1636.5559266225696,41.0122423194315,61,-1349.3131517092106
